delay	r64	r300	r700	r1200	c64	c300	c700	c1200
0	100	100	100	100	100	100	100	100
1	100	100	100	100	100	100	100	100
2	100	100	100	100	100	100	100	100
3	100	100	100	100	100	100	100	100
4	100	100	100	100	100	100	100	100
5	100	100	100	100	100	100	100	100
6	100	100	100	100	76	50	64	54
7	60	100	100	100	6	2	0	0
8	2	10	20	32	0	0	0	0
9	0	0	0	0	0	0	0	0
10	0	0	2	0	0	0	0	0
11	0	0	4	6	0	0	0	0
12	4	8	24	42	0	0	0	0
13	22	86	86	100	0	0	0	0
14	96	100	100	100	2	4	0	14
15	94	100	100	100	42	30	50	24
16	100	100	100	100	64	90	100	100
17	100	100	100	100	90	100	100	100
18	100	100	100	100	100	100	100	100
19	100	100	100	100	100	100	100	100
20	100	100	100	100	100	100	100	100
21	100	100	100	100	100	100	100	100
22	100	100	100	100	100	100	100	100
23	100	100	100	100	100	100	100	100
24	100	100	100	100	100	100	100	100
25	100	100	100	100	100	100	100	100
26	100	100	100	100	100	100	100	100
27	100	100	100	100	100	100	100	100
28	100	100	100	100	100	100	100	100
29	100	100	100	100	100	100	100	100
30	100	100	100	100	100	100	100	100
31	100	100	100	100	100	100	100	100
