delay	r64	r300	r700	r1200	c64	c300	c700	c1200
0	100	100	100	100	100	100	100	100
1	100	100	100	100	100	100	100	100
2	100	100	100	100	100	100	100	100
3	100	100	100	100	100	100	100	100
4	100	100	100	100	100	100	100	100
5	100	100	100	100	72	88	98	96
6	50	100	100	100	6	2	6	8
7	6	80	98	100	0	0	0	0
8	0	0	0	2	0	0	0	0
9	0	4	2	2	0	0	0	0
10	0	16	12	24	0	0	0	0
11	0	52	70	80	0	0	0	0
12	0	90	100	100	0	0	0	0
13	8	100	100	100	0	0	0	0
14	52	100	100	100	0	0	4	0
15	96	100	100	100	0	12	16	20
16	100	100	100	100	18	100	100	100
17	100	100	100	100	100	100	100	100
18	100	100	100	100	100	100	100	100
19	100	100	100	100	100	100	100	100
20	100	100	100	100	100	100	100	100
21	100	100	100	100	100	100	100	100
22	100	100	100	100	100	100	100	100
23	100	100	100	100	100	100	100	100
24	100	100	100	100	100	100	100	100
25	100	100	100	100	100	100	100	100
26	100	100	100	100	100	100	100	100
27	100	100	100	100	100	100	100	100
28	100	100	100	100	100	100	100	100
29	100	100	100	100	100	100	100	100
30	100	100	100	100	100	100	100	100
31	100	100	100	100	100	100	100	100
